date,variable,forecast_original
2012-07-01,cpi,105.90833388421972
2012-10-01,cpi,105.7024554919633
2013-01-01,cpi,105.49481884066086
2013-04-01,cpi,105.49375228468426
2013-07-01,cpi,105.36261005113141
2013-10-01,cpi,105.60518964465338
2014-01-01,cpi,105.46275411747585
2014-04-01,cpi,106.05779050977567
2014-07-01,cpi,106.21197912831552
2014-10-01,cpi,105.90699963715313
2015-01-01,cpi,105.51552960631696
2015-04-01,cpi,104.93854585817574
2015-07-01,cpi,104.52622204863322
2015-10-01,cpi,104.42173619855575
2016-01-01,cpi,104.1413877656153
2016-04-01,cpi,104.51762393531835
2016-07-01,cpi,104.56999425136118
2016-10-01,cpi,104.07875146337793
2017-01-01,cpi,104.19186082450157
2017-04-01,cpi,104.55097344477328
2017-07-01,cpi,104.6973769381934
2017-10-01,cpi,105.22556673640123
2018-01-01,cpi,105.17362554013428
2018-04-01,cpi,105.57145727897542
2018-07-01,cpi,105.58107228948201
2018-10-01,cpi,105.51372225702909
2019-01-01,cpi,105.54352475704007
2019-04-01,cpi,106.02620083570673
2019-07-01,cpi,106.18212135943486
2019-10-01,cpi,105.55515723532658
2020-01-01,cpi,105.41327755136942
2020-04-01,cpi,105.4902139968645
2020-07-01,cpi,105.2977367307154
2020-10-01,cpi,106.23151577892875
2021-01-01,cpi,106.02611423419214
2021-04-01,cpi,106.19525535029942
2021-07-01,cpi,106.87477691841903
2021-10-01,cpi,106.7731207595152
2022-01-01,cpi,107.3491437643865
2022-04-01,cpi,108.53459554226171
2022-07-01,cpi,108.83455990278463
2022-10-01,cpi,108.79039196183732
2023-01-01,cpi,108.90655239334444
2023-04-01,cpi,109.1679596327655
2023-07-01,cpi,108.6429860311679
2023-10-01,cpi,108.55684628261953
2024-01-01,cpi,107.83760932239096
2024-04-01,cpi,107.37106620069926
2024-07-01,cpi,107.0311685915818
2024-10-01,cpi,106.24047549858663
2002-04-01,lrate,2.2599315122269465
2002-07-01,lrate,2.632478720375581
2002-10-01,lrate,3.0316931575017243
2003-01-01,lrate,3.619199973909053
2003-04-01,lrate,4.128551234863995
2003-07-01,lrate,4.157314451457103
2003-10-01,lrate,4.088822397539023
2004-01-01,lrate,4.108613934037852
2004-04-01,lrate,3.968787022982148
2004-07-01,lrate,4.049959175544208
2004-10-01,lrate,3.9307342248035493
2005-01-01,lrate,3.7499515416994296
2005-04-01,lrate,3.413919720208197
2005-07-01,lrate,2.799683088401065
2005-10-01,lrate,2.3033905018639587
2006-01-01,lrate,2.049662881988724
2006-04-01,lrate,1.6533927731211342
2006-07-01,lrate,1.2282665587012336
2006-10-01,lrate,0.30749535353402035
2007-01-01,lrate,-0.5930344731184904
2007-04-01,lrate,-1.7291171648420698
